company_name,experience_required,job_description,job_title,keyskills,link_job_description,location,posted_by,salary
,N/A,N/A,,N/A,N/A,N/A,,N/A
Wunderman\MSC,2-6 yrs,Should be able to suggest required automation in the current process to be able to optimize the delivery ...,"Data Analyst, Wunderman\msc, Cyber City, Gurgaon","Power Bi, SQL Server, SSIS, SSRS, Database Marketing, Email Marketing...",https://www.naukri.com/job-listings-Data-Analyst-Wunderman-msc-Cyber-City-Gurgaon-Wunderman-MSC-Gurgaon-2-to-6-years-051018002487?src=jobsearchDesk&sid=15389014482083&xp=1&px=1,Gurgaon,  Ms Nutan  ,  Not disclosed 
Jones Lang LaSalle Property Consultants (India) Pv  t. Ltd.,1-4 yrs,"Participate in ad hoc projects as and when required;Must have a desire to work within a diverse, ...",Research Data Analyst,"data analysis, data quality, Research Analysis",https://www.naukri.com/job-listings-Research-Data-Analyst-Jones-Lang-LaSalle-Property-Consultants-India-Pv-t-Ltd-Gurgaon-1-to-4-years-051018000985?src=jobsearchDesk&sid=15389014482083&xp=2&px=1,Gurgaon,  Saurabh Rhode  ,  Not disclosed 
Tidyquant (OPC) Private Limited,0-5 yrs,The individual must have a problem-solving mentality in order to create actionable insights that can be ...,Data Analyst | Data Scientist | Machine Learning Engineer,"data science, machine learning, python, hadoop, big data, data analysis...",https://www.naukri.com/job-listings-Data-Analyst-Data-Scientist-Machine-Learning-Engineer-Tidyquant-OPC-Private-Limited-Noida-Sector-8-Noida-0-to-5-years-051018000153?src=jobsearchDesk&sid=15389014482083&xp=3&px=1,Noida(Sector-8 Noida),  Dr. Manoj Kumar  ,"    2,50,000 - 7,00,000 P.A.  "
B3 Intelligence,1-5 yrs,1.	Candidates should have good communication skills;2.	Candidates should have good knowledge in MS-Excel ...,Data Analyst,"data analysis, mis, excel, ms excel, SPSS, quantum, wincross, minitab",https://www.naukri.com/job-listings-Data-Analyst-B3-Intelligence-Delhi-NCR-1-to-5-years-061018000949?src=jobsearchDesk&sid=15389014482083&xp=4&px=1,Delhi NCR,  HR Manager  ,  Not disclosed 
FOCSUN SOLAR INDIA PRIVATE LIMITED,1-6 yrs,N/A,Data Analyst,"Data Analysis, SQL, Data Quality, Data Mining, Business Intelligence...",https://www.naukri.com/job-listings-Data-Analyst-FOCSUN-SOLAR-INDIA-PRIVATE-LIMITED-Bengaluru-Kolkata-Delhi-NCR-Hyderabad-Mumbai-Kochi-Visakhapatnam-Chennai-Pune-1-to-6-years-051018004416?src=jobsearchDesk&sid=15389014482083&xp=5&px=1,"Bengaluru, Kolkata, Delhi NCR, Hyderabad, Mumbai, Kochi, Visakhapatnam, Chennai, Pune",  UDAY KUMAR  ,"    4,75,000 - 9,00,000 P.A. Medical, life, dental, disabil...  "
Great Learning-Startup,1-3 yrs,1+ years of hands-on experience in the below functional skills: ...,Data Science Analyst,"data science, data analytics, statistical analysis, tableau, data modeling,...",https://www.naukri.com/job-listings-Data-Science-Analyst-Great-Learning-Startup-Gurgaon-1-to-3-years-051018900739?src=jobsearchDesk&sid=15389014482083&xp=6&px=1,Gurgaon,  HR  ,  Not disclosed 
IDC technologies,2-5 yrs,- 2-3 years of industry experience as Salesforce Analyst/ Consultant;- Experience training new users on ...,Salesforce Analyst/consultant - Configuration & Data Maintenance,"salesforce, crm solutions, customer relationship management...",https://www.naukri.com/job-listings-Salesforce-Analyst-consultant-Configuration-Data-Maintenance-IDC-technologies-Delhi-NCR-2-to-5-years-061018002322?src=jobsearchDesk&sid=15389014482083&xp=7&px=1,Delhi NCR,  Not Provided  ,  Not disclosed 
Aurionpro Solutions Ltd.,3-5 yrs,Should have exposure to Open Source statistical/ analytical and predictive tools;Experience in analysing/ ...,Data Analyst,"Core Java, Postgresql, Open Source, Requirement Gathering, Data Analysis...",https://www.naukri.com/job-listings-Data-Analyst-Aurionpro-Solutions-Ltd-Delhi-Shastri-Park-3-to-5-years-031018001776?src=jobsearchDesk&sid=15389014482083&xp=8&px=1,Delhi(Shastri Park),  Priyanka Tyagi  ,"    3,00,000 - 6,00,000 P.A.  "
JK Technosoft Ltd,0-0 yrs,The candidate should have good communication and following skills set:;Skills Required: ...,Walk In-9th Oct- Fresher (  Data Analyst)- Contractual Role,"Web Technologies, Data Analysis, Communication Skills",https://www.naukri.com/job-listings-Walk-In-9th-Oct-Fresher-Data-Analyst-Contractual-Role-JK-Technosoft-Ltd-Noida-0-to-0-years-041018008933?src=jobsearchDesk&sid=15389014482083&xp=9&px=1,Noida,  TA JKT  ,  Not disclosed 
